occurrenceID,basisOfRecord,kingdom,family,genus,specificEpithet,scientificNameAuthorship,scientificName,taxonRank,taxonomicStatus,recordedBy,recordNumber,eventDate,institutionCode,decimalLatitude,decimalLongitude,locality
34,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,bertemariae,Sebsebe & Dioli,Aloe bertemariae Sebsebe & Dioli,species,accepted,"Dioli, M.",4,15/12/1999,K (iso),6.45,42.13333,"ETH-HA: Ogaden, 5 km W of the village of Guddis, road to Imi. Sandy soil."
35,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,breviscapa,Reynolds & P.R.O.Bally,Aloe breviscapa Reynolds & P.R.O.Bally,species,accepted,"Reynolds,",8542,,"EA, K (iso); PRE holo",10.74611,48.0075,"SOM-N2: 77 km East of Erigavo, on road to ""Hadaftimo"""
36,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,brunneostriata,Lavranos & S.Carter,Aloe brunneostriata Lavranos & S.Carter,species,accepted,Lavranos; Horwood,10187,,[K] type,9.83444,49.80861,SOM: 128 km E of Gardo towards Iskushuban.
37,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Getachew, A.; de Wit, H.C.D.",1507,//,ETH,6.03333,37.6,ETH-GG: 2 km from Arba Minch towards Addis road
38,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Gillett, J.B.",12944,,"EA, FT",3.51667,39.05,Ken-K1:Moyale
39,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Gillett, J.B.",13393,,EA,2.81667,40.93333,Ken-K1:El Wak
40,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Hillman, C.; Hilman, S.  in Sebsebe, D.",2941,,ETH,5.36667,35.75,"ETH-GG: Muri River, HQ of Omo National Park"
41,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Mooney, H.F.",9772,,ETH,4.5,38.16667,ETH-SD: Borana
42,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,Reynolds,7013,,,2.78333,39.51667,Ken-K1: 14 miles S of Buna (photo)
43,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Reynolds, G.W.",7029,6/9/1953,K (iso.),3.88333,38.58333,"ETH-SD: Borana, on a hot dry plains 49 miles NW of Moyale on road to Mega"
44,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Sebsebe, D.",2165,//,ETH,5.53333,39.46667,ETH-SD: 4 km S of Bitata towards Negelle
45,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Sebsebe, D.",2197,//,ETH,3.55,39.1,ETH-SD: 21 km from Moyale towards Mega
46,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Sebsebe, D.; Ensermu, K.",2884,//,ETH,3.91667,38.5,ETH-SD: 19 km from Mega
47,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Sebsebe, D.; et al.",2177,//,ETH,5.26667,39.66667,"ETH-SD: 12 km from Neghelle towards Filtu at the junction towards Melka Guba, near a graveyard"
48,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Sebsebe, D.; et al.",2198,//,ETH,4,38.33333,ETH-SD: 10 km from Mega towards Moyale
49,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Sebsebe, D.; et al.",4213,//,ETH,4.98333,38.5,"ETH-SD: Guji Awraja, ca. 520 km on A.A. - Yavello road"
50,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,calidophila,Reynolds,Aloe calidophila Reynolds,species,accepted,"Thulin, M.; et al.",11603,,K,6.58333,43.88333,ETH-HARERGE: 52 km on track from Kebri Dehar to Gode.
51,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Bally, P.R.O.",,,"ETH, K",15.95,38.55,ETH-EW: Mescillit Pass
52,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Ermias, D. in Sebsebe, D.",2213,,ETH,15.33333,38.96667,ERIT-EW: 5 km from Asmera to Massawa road
53,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Ermias, D. in Sebsebe, D.",2214,,"ETH, K",15.31667,39.05,"ERIT-EW: Nefasit, ca. 23 km from Asmera to Masawa"
54,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Ermias, D. in Sebsebe, D.",2215,,K,15.45,39.08333,"ERIT-EW: Ghinda, 42 km from Asmera to Massawa"
55,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Getachew, A.",3263,//,ETH,11.23333,39.75,ETH-WU: 10 km from Lake Ardibo on road to Lake Hayk
56,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Mooney, H.F.",9536,//,ETH,15.76667,38.26667,ERIT-EW: 30 km N of Keren
57,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Reynolds, G.W.",8036,,K,15.3,38.98333,ERI-EW: mountain top 6 km E of Asmera
58,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Reynolds, G.W.",8051,13/4/1956,K,15.38333,39.06667,ERI-EW: In the valley above Ghinda near Nefasit
59,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Reynolds, G.W.",8071,15/4/1956,K,14.75,39.36667,"ERI-EW: Adi Keyh: On the Kohaito Plateau 13 km S of Adi Keyh, 12 km N of Senafe"
60,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Reynolds, G.W.",8105,25/4/1956,K,11.2,39.16667,"ETH-WU: 20 km S of Weldya, 100 km N of Dessie"
61,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Schweinfurth, G.",154,,K,14.75,39.36667,ERI-EW: Plateau of Kohaito
62,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Schweinfurth, G.",155,//,,15.28333,39.51667,ERI-EE: Bei Mahio in Thale des Haddas
63,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Schweinfurth, G.",156,,K,14.75,39.36667,ERI-EW: Plateau von Kohaito
64,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Schweinfurth, G.",,//,K,15.83333,38.78333,ERI-EW: Gheleb
65,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Schweinfurth, G.; Riva, D.",1350,//,K,15.1,39.23333,ERI-EW: Environs d'Acrour
66,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Schweinfurth, G.; Riva, D.",1696,/4/1892,K,15.1,39.23333,ERI-EW: Environs d'Acrour
67,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Schweinfurth, G.; Riva, D.",1797,/4/1892,K,15.1,39.23333,ERI-EW: Environs d'Acrour
68,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Sebsebe, D.",2971,//,ETH,11.16667,39.7,"ETH-WU: Dessie Zuria Awraja, 3 km from Tifa (13 km from Dessie) towards"
69,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Sebsebe, D.",4643,//,ETH,11.23333,39.66667,"ETH-WU: Around Hayk, Stifanos Church, 5 km out of Hayk town which is about 30 km NE of Dessie towards Woldiya"
70,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Tamrat, B.",,,"ETH, K",11.11667,39.78333,ETH-WU: 2-5 km from Dessie on the way to Kombolcha at the upper limit of the escarpment
71,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Tamrat, B.",,,"ETH, K",11.11667,39.78333,ETH-WU: 2-5 km from Dessie on the way to Kombolcha at the upper limit of the escarpment
72,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Tamrat, B.",,,"ETH, K",11.11667,39.78333,ETH-WU: 2-5 km from Dessie on the way to Kombolcha at the upper limit of the escarpment
73,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Tewolde, B.G.E.",28,//,ETH,14.26667,40.3,ETH-TU: 49 km from Edaga Hamus to Dalol
74,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,camperi,Schweinf.,Aloe camperi Schweinf.,species,accepted,"Wilson, R.T.",662,,ETH,13.43333,39.71667,ETH-TU: Tigre
75,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,canarina,S.Carter,Aloe canarina S.Carter,species,accepted,"Padwa, S.H.",231,30/5/1953,"K, EA",4.7,35,"SUD: Komalilia, Ilemi Triangle"
76,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,canarina,S.Carter,Aloe canarina S.Carter,species,accepted,"Padwa, S.H.",231,30/5/1953,"K, EA",4.7,35,"SUD: Komalilia, Ilemi Triangle"
77,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,canarina,S.Carter,Aloe canarina S.Carter,species,accepted,Reynolds,7951,,EA,3.33278,34.20194,Uga- : 6 miles W of Loyoro
78,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,canarina,S.Carter,Aloe canarina S.Carter,species,accepted,Reynolds,7966,,,3.32528,34.15722,Uga- : 9 miles W of Loyoro (photo)
79,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,canarina,S.Carter,Aloe canarina S.Carter,species,accepted,Tweedie,690,,,3.35,34.26667,Uga- : Loyoro
80,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,"Ash, J.",2279,24/11/1973,K,5.46667,37.5,"ETH-SD: 7 km E of Sagan River(04047'N 37035'E), or 118 km SW of Arba Minch (6000'N 37032'E) on Konso to Yavello Rd"
81,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,B,2028,,EA,0.77,39.66361,Kenya-K1: 30 miles S of Garissa
82,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,B,14588,,,3.92194,41.81306,Kenya-K1: 5 km W of Mandera
83,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,"Bally, P.R.O.; Melville, R.",15287,,K (holo),3.85,45.56667,SOM-3 km S of Bulo Burti
84,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,"Carter, S.",807,1/2/1981,K,3.85,45.56667,SOM-2 km S of Bulo Burti
85,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,"Gilbert, M.G.; et al.",8152,11/6/1986,"ETH, K",4.25,41.96667,"ETH-SD: 12 km NE of Dolo, road to Bokol Mayo"
86,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,"Gilbert, M.G.; et al.",8152,11/6/1986,"ETH, K",4.25,41.96667,"ETH-SD: 12 km NE of Dolo, road to Bokol Mayo"
87,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,"Gillett, J.B.",,,,3.88194,41.50694,Kenya-K1: 40 km W of Mandera
88,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,Gulichia,27,,EA,3.93333,41.18333,Kenya-K1: Yabicho
89,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,"Kilan, N.; Lobin  W.",,,K,2.63333,45.3,"SOM: Middle Shebelle, District Jowhar, SW Morajiiddo, ca 4-6 km S Bulo Caano"
90,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,"Kuchar, P.",17361,22/8/1987,K,3.4,45.58333,SOM: Jalalaksi District. 2 km W of Jalalaksi
91,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,"Sebsebe, D.; Ensermu, K.",2721,15/12/1990,"ETH, K",4.1,41.36667,"ETH-SD: 3 km from Bokol Mayo towards Dolo Odo, near river bed & around river banks"
92,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,"Sebsebe, D.; Ensermu, K.",2721,15/12/1990,"ETH, K",4.1,41.36667,"ETH-SD: 3 km from Bokol Mayo towards Dolo Odo, near river bed & around river banks"
93,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,"Sebsebe, D.; Ensermu, K.",2741,16/12/1990,"ETH, K",4.21667,42.15,ETH-SD: 13 km from Dolo Odo to Dolo Bay (2 km off the main raod)
94,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,"Sebsebe, D.; Ensermu, K.",2741,16/12/1990,"ETH, K",4.21667,42.15,ETH-SD: 13 km from Dolo Odo to Dolo Bay (2 km off the main raod)
95,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,citrina,S.Carter & Brandham,Aloe citrina S.Carter & Brandham,species,accepted,Somali Medicinal Plant Project,,,"K, UPS",3.9,42.61667,"SOM-S: Gedo; 5 km from Luuq, Cadhacay village."
96,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,clarkei,L.E.Newton,Aloe clarkei L.E.Newton,species,accepted,Clarke s.n. sub Newton,5676,22/12/1982,EA (Holo) n.v,5.5,35.3,"ETH-KF: Naita Mountain, 200 mts north of the summit"
97,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,crassipes,Baker,Aloe crassipes Baker,species,accepted,"Myers, J.G.",6657,17/5/1937,K,4.48333,28.96667,SUD-Equatorial Province: Between Mts Bangenze and Duanvuru
98,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,crassipes,Baker,Aloe crassipes Baker,species,accepted,"Myers, J.G.",6657,17/5/1937,K,4.48333,28.96667,SUD-Equatorial Province: Between Mts Bangenze and Duanvuru
99,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,crassipes,Baker,Aloe crassipes Baker,species,accepted,"Schweinfurth, G.",3765,22/5/1870,K (iso),4.8,28.51667,SUD-Equatoria: From River Kisi
100,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,cremnophila,Reynolds & Bally,Aloe cremnophila Reynolds & Bally,species,accepted,"Bailes, C.P.",184,,K living coll.,10.79861,47.35778,"SOM: Erigavo, precipice edge, Daloh. Type loc."
101,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,cremnophila,Reynolds & Bally,Aloe cremnophila Reynolds & Bally,species,accepted,Brandham; Holmes; Bailes; Johnson,2886,,K living coll.,10.79833,47.35778,"SOM: Daloh escarpment,N.of Erigavo, Lip of precipice N facing."
102,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,cremnophila,Reynolds & P.R.O.Bally,Aloe cremnophila Reynolds & P.R.O.Bally,species,accepted,"Carter, S.",912,19/2/1981,K,10.785,47.35194,"SOM-N2:  Al Madu Mountains, Daloh Escarpment, precipice edge"
103,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,cremnophila,Reynolds & Bally,Aloe cremnophila Reynolds & Bally,species,accepted,Gillett; Watson,23851,,K living coll.,10.8,47.36667,SOM: Surud Range N of Erigavo
104,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,cremnophila,Reynolds & P.R.O.Bally,Aloe cremnophila Reynolds & P.R.O.Bally,species,accepted,"Hemming, C.F.",1947,27/9/1960,"K, FT",10.765,47.31889,"SOM-N2: Daloh Gudun, N of Erigavo"
105,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,cremnophila,Reynolds & Bally,Aloe cremnophila Reynolds & Bally,species,accepted,na,,,,10.77917,47.28528,
106,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,cremnophila,Reynolds & Bally,Aloe cremnophila Reynolds & Bally,species,accepted,na,,,,10.82806,47.37556,
107,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,cremnophila,Reynolds & Bally,Aloe cremnophila Reynolds & Bally,species,accepted,Reynolds,,,PRE,10.76639,47.33361,"SOM: Daloh Esc., 13 miles N of Erigavo"
108,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,debrana,Christian,Aloe debrana Christian,species,accepted,Afework K.,,,ETH,10.33333,39.66667,"ETH-SU: Deneba Kebele, 50 km Debre Berhan driving to Jihur"
109,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,debrana,Christian,Aloe debrana Christian,species,accepted,"Ash, J.",1852,,K,9.35,38.68333,"ETH-SU: Mulu Farm, 45 km NW of Addis Abeba"
